Date;DOY;Licor unit;Tree;Treat;Temp;VPD;CO2;WD;Obs;HHMMSS;FTime;EBal?;Photo;Cond;WUEi;Ci;Ci/10;VcmaxCi10;VcmaxCO2R10;Trmmol;VpdL;CTleaf;Area;BLC_1;StmRat;BLCond;Tair;Tleaf;TBlk;CO2R;CO2R/10;CO2S;H2OR;H2OS;RH_R;RH_S;Flow;PARi;PARo;Press;CsMch;HsMch;StableF;BLCslope;BLCoffst;f_parin;f_parout;alphaK;Status;fda;Trans;Tair_K;Twall_K;R(W/m2);Tl-Ta;SVTleaf;h2o_i;h20diff;CTair;SVTair;CndTotal;vp_kPa;VpdA;CndCO2;Ci_Pa;Ci/Ca;RHsfc;C2sfc;AHs/Cs;Photo385;Photo700
29.7.2014;210;black;5;C-M-AC_WET;C;M;C;WET;31;10:32:51;6700.5;0;17.04425938;0.377611612;45.13701072;277.71;27.77;52.7;41.4;3.07;0.88;24.9;6;1.42;1;2.84;22.83;24.9;22.04;384.6;38.46;362.79;19.59;23.19;69.01;81.7;499.72;1199.49;1.35;98.29;-1.31;-0.03;1;-0.22;2.74;1;0;0.16;111115;0.83;0;298.05;295.98;191.92;0.39;3.16;32.16;8.97;23.86;2.97;0.33;2.28;0.69;0.21;27.3;0.77;74.69;354.69;0.04;17.04;24.14
29.7.2014;210;red;6;C-M-AC_WET;C;M;C;WET;29;10:38:14;6505.5;0;14.02212302;0.256267635;54.7167145;266.98;26.7;50.7;37;3.35;1.37;25.92;6;1.42;1;2.84;25.45;25.92;24.98;386.74;38.67;368.44;16.28;20.22;49.15;61.02;500.18;1199.73;1.83;98.59;-2.32;0.23;0;-0.22;2.74;1;0;0.16;111115;0.83;0;299.07;298.6;191.96;0.46;3.36;34.06;13.85;25.69;3.31;0.24;1.99;1.32;0.15;26.32;0.72;61.67;361.77;0.02;14.02;21.25
29.7.2014;210;black;1;HOT-H-AC-DRY;HOT;H;AC;DRY;7;9:29:40;2909.5;0;4.602442268;0.028203816;163.1850906;111.03;11.1;73.9;13.8;0.38;1.32;24.85;6;1.42;1;2.84;22.68;24.85;22.25;385.45;38.54;379.75;18.17;18.63;64.64;66.21;499.77;1199.55;1.34;98.28;-1.64;0.15;1;-0.22;2.74;1;0;0.16;111115;0.83;0;298;295.83;191.93;1.78;3.15;32.06;13.44;23.76;2.95;0.03;1.83;1.12;0.02;10.91;0.29;57.43;377.56;0.01;4.6;9.65
29.7.2014;210;red;2;HOT-H-AC-DRY;HOT;H;AC;DRY;8;9:34:30;2681.5;0;3.431371426;0.022127689;155.0713871;124.43;12.44;32;9.89;0.45;1.98;26.35;6;1.42;1;2.84;25.36;26.35;24.98;386.87;38.69;382.55;14.32;14.86;43.46;45.09;500.19;1199.09;2.37;98.58;-3.46;0.29;0;-0.22;2.74;1;0;0.16;111115;0.83;0;299.5;298.51;191.85;1.9;3.45;34.95;20.09;25.86;3.35;0.02;1.46;1.88;0.01;12.27;0.33;41.49;380.92;0;3.43;6.7
29.7.2014;210;green;3;HOT-H-AC-DRY;HOT;H;AC;DRY;15;11:24:22;4158;0;-1.415619671;5.23329E-05;-27050.28139;43171.95;4317.2;0.21;-0.94;0;1.37;26.42;6;1.42;1;2.84;25.3;26.42;24.94;387.84;38.78;389.53;21.25;21.26;64.59;64.59;500.18;1200.81;3.97;98.39;8.31;-0.03;0;-0.22;2.74;1;0;0.16;111115;0.83;0;299.57;298.45;192.13;2.12;3.46;35.16;13.91;25.86;3.35;0;2.09;1.26;0;4247.67;110.83;59.3;390.21;0;-1.42;-0.25
29.7.2014;210;blue;4;HOT-H-AC-DRY;HOT;H;AC;DRY;15;9:48:39;4313;0;2.683513602;0.018052305;148.6521307;136.55;13.66;16.6;8.54;0.28;1.51;26.22;6;1.42;1;2.84;25.39;26.22;24.96;385.56;38.56;382.21;19.07;19.4;57.71;58.71;499.5;1199.79;3.25;98.53;-8.36;-0.22;1;-0.22;2.74;1;0;0.16;111115;0.83;0;299.37;298.54;191.97;2.01;3.42;34.7;15.3;25.81;3.34;0.02;1.91;1.42;0.01;13.45;0.36;54.97;380.93;0;2.68;5.1
29.7.2014;210;black;5;HOT-H-AC-DRY;HOT;H;AC;DRY;14;9:50:31;4160.5;0;2.83924257;0.019120392;148.4929059;136.9;13.69;19.5;7.78;0.26;1.32;24.98;6;1.42;1;2.84;23.47;24.98;22.83;385.1;38.51;381.57;18.56;18.87;62.88;63.92;499.72;1199.75;1.84;98.29;-1.46;0.17;1;-0.22;2.74;1;0;0.16;111115;0.83;0;298.13;296.62;191.96;1.94;3.18;32.3;13.43;24.23;3.04;0.02;1.85;1.18;0.01;13.46;0.36;57.61;380.22;0;2.84;5.51
29.7.2014;210;red;6;HOT-H-AC-DRY;HOT;H;AC;DRY;15;9:57:27;4058.5;0;2.867066234;0.022645377;126.607132;170.84;17.08;21;8.26;0.45;1.93;26.48;6;1.42;1;2.84;25.44;26.48;24.98;387.35;38.74;383.71;15.07;15.6;45.51;47.12;500.19;1200.8;2.59;98.59;-2.6;0.31;0;-0.22;2.74;1;0;0.16;111115;0.83;0;299.63;298.59;192.13;1.89;3.47;35.21;19.61;25.96;3.37;0.02;1.54;1.83;0.01;16.84;0.45;43.32;382.34;0;2.87;5.66
29.7.2014;210;green;1;HOT-H-AC-WET;HOT;H;AC;WET;1;10:42:39;1655.5;0;12.81825536;0.086143796;148.8006793;119.45;11.95;-0.24;26.4;1.12;1.28;25.96;6;1.42;1;2.84;25.1;25.96;24.95;384.78;38.48;368.91;19.94;21.25;61.33;65.36;500.23;1200.72;1.93;98.38;4.7;0.3;1;-0.22;2.74;1;0;0.16;111115;0.83;0;299.11;298.25;192.12;1.57;3.37;34.23;12.98;25.53;3.28;0.08;2.09;1.19;0.05;11.75;0.32;62.15;362.82;0.02;12.82;20.73
29.7.2014;210;blue;2;HOT-H-AC-WET;HOT;H;AC;WET;1;9:07:00;1814;0;13.87025909;0.182346174;76.06553396;231.51;23.15;64.5;42.6;2.34;1.31;25.25;6;1.42;1;2.84;25.18;25.25;24.97;384.08;38.41;366.39;16.67;19.43;51.28;59.55;499.54;1200.28;4.37;98.52;-5.75;-0.26;1;-0.22;2.74;1;0;0.16;111115;0.83;0;298.4;298.33;192.05;1.04;3.23;32.75;13.32;25.21;3.22;0.17;1.91;1.31;0.11;22.81;0.63;60.76;359.8;0.02;13.87;23.15
